Název,Rok,Autor,Lokalita,Technika,Rozměr,Majitel,Provenience,Inv. číslo,Značeno (petrbrandl.eu),Doloženo,Poznámka (archivní tabulka),Obrázek,Zdroj petrbrandl.eu
Sv. Antonín Paduánský s Ježíškem (obraz v nástavci oltáře),1720,Petr Brandl,"Praha – Malá Strana, kostel Panny Marie Vítězné","Olej, plátno",,Klášter Panny Marie Vítězné – Pražského Jezulátka Řádu bosých bratří blahoslavené Panny Marie z hory Karmel,Obraz v nástavci oltáře byl spolu s Brandlovým oltářním plátnem Smrt sv. Josefa objednán řádem bosých karmelitánů do kostela Panny Marie Vítězné na Malé Straně.,,Neznačeno,,"Umístění dle archivní tabulky: Kostel P. Marie Vítězné, Praha | č.k. I-93",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwNzkwN2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=87
Panna Marie uděluje škapulíř sv. Šimonu Štokovi,před 1720,Petr Brandl,"Praha – Malá Strana, kostel Panny Marie Vítězné","Olej, plátno",380 × 225 cm,Klášter Panny Marie Vítězné – Pražského Jezulátka Řádu bosých bratří blahoslavené Panny Marie z hory Karmel,Obraz do kostela Panny Marie Vítězné na Malé Straně objednal řád bosých karmelitánů.,,Neznačeno,,"Umístění dle archivní tabulky: Kostel P. Marie Vítězné, Praha | č.k. I-94 | Datování dle archivní tabulky: 1720 nebo dříve",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTIyMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=88
Sv. Jan Nepomucký (obraz v nástavci),před 1720,Petr Brandl,"Praha – Malá Strana, kostel Panny Marie Vítězné","Olej, plátno",,Klášter Panny Marie Vítězné – Pražského Jezulátka Řádu bosých bratří blahoslavené Panny Marie z hory Karmel,Obraz v nástavci k oltářnímu obrazu Panna Marie uděluje škapulíř sv. Šimonu Štokovi od Brandla objednal řád bosých karmelitánů pro kostel Panny Marie Vítězné na Malé Straně.,,Neznačeno,,"Umístění dle archivní tabulky: Kostel P. Marie Vítězné, Praha | č.k. I-95 | Datování dle archivní tabulky: 1720 / dříve",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODEwMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=89
Sen proroka Eliáše,1724,Petr Brandl,"Praha – Malá Strana, klášter karmelitánů|Dlouhodobě zapůjčeno do stálé expozice Národní galerie v Praze","Olej, plátno",187 × 248 cm,Klášter Panny Marie Vítězné – Pražského Jezulátka Řádu bosých bratří blahoslavené Panny Marie z hory Karmel,Obraz objednali v roce 1724 malostranští karmelitáni pro výzdobu klášterního refektáře.,VO 371,Signováno vlevo dole na kameni pod holí: P. Brandl pinxit,"signováno, archivně doloženo",Umístění dle archivní tabulky: Národní galerie v Praze (zápůjčka z kláštera karmelitánů Praha - Malá Strana) | č.k. I-96,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwNzY5M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=90
Podobizna pražského arcibiskupa Ferdinanda z Khuenburgu,1714 až 1715,Petr Brandl,"Praha – Hradčany, Arcibiskupský palác","Olej, plátno","114 × 88,2 cm",Arcibiskupství pražské,Obraz velmi pravděpodobně vznikl na přímou objednávku arcibiskupa Ferdinanda z Kheunburgu (1651–1731).,,"Na rubu plátna nápis: F. KHUENBURG, na štítku vlevo dole: Beilaß No 25",,Umístění dle archivní tabulky: Arcibiskupský palác Praha-Hradčany | č.k. I-97 | Datování dle archivní tabulky: 1714-1715,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTM5N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=91
Sv. Pavel,1724,Petr Brandl,"Praha – Hradčany, Arcibiskupský palác. Dlouhodobě zapůjčeno do stálé expozice Národní galerie v Praze","Olej, plátno","101 × 76,7 cm",Arcibiskupství pražské,Obraz spolu s protějškovým dílem zobrazující sv. Petra zřejmě objednal pražský arcibiskup Ferdinand z Khuenburku (1713–1731).,VO 381,Signováno na kamenné desce vpravo dole Petrus Brandl. Pinxit. A 1724,"signováno, datováno",Umístění dle archivní tabulky: Národní galerie v Praze (zápůjčka z Arcibiskupství pražského) | č.k. I-98,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODE0MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=92
Sv. Petr,1724,Petr Brandl,"Praha – Hradčany, Arcibiskupský palác Dlouhodobě zapůjčeno do stálé expozice Národní galerie v Praze","Olej, plátno","101 × 76,7 cm",Arcibiskupství pražské,Obraz spolu s protějškovým dílem zobrazující sv. Pavla zřejmě objednal pražský arcibiskup Ferdinand z Khuenburku (1713–1731).,VO 380,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze (zápůjčka z Arcibiskupství pražského) | č.k. I-97,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODE4MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=93
Zázrak Panny Marie Rottenburské,1718 až 1736,Petr Brandl (dokončil Jan Jiří Schmidt),"Praha – Hradčany, kapucínský kostel Panny Marie Andělské","Olej, plátno",214 × 367 cm,Provincie kapucínů v ČR,"Obraz Brandl namaloval (ale nedokončil) pro řád kapucínů v Praze na Hradčanech. Nedokončené dílo zabavila majitelka domu v Plátnéřské ulici (kde Brandl bydlel) Zuzana Polixena Camelroniová a předala po Brandlově smrti do kapucínského kláštera, kde malbu dokončil Jan Jiří Schmidt.",PHr-065,Neznačno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTc4MGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=94
Panna Marie s Ježíškem a sv. Josefem zachraňují duše v očistci,po 1700,Petr Brandl,"Praha – Hradčany, kapucínský klášter","Olej, plátno",216 × 162 cm,Provincie kapucínů v ČR,"Obraz byl původně určen do kláštera kapucínů – do Lorety v Praze-Hradčanech, objednavatel však není znám.",PHr-113,Dole při okraji obrazu připojena jinou rukou nápisová páska s textem ALMA CONFRATERNITAS IESU MARIAE JOSEPH PRO DEFUNCTIS. PRAGAE IN S: DOMO LAURETANA. SUB / INNOCENTIO XII ERECTA MAGNIS INDULGENTIIS ET GRATIIS ALICTA. DIE 31 MARTII 1694,,Umístění dle archivní tabulky: Muzeum hl. m. Prahy | č.k. I-114 | Datování dle archivní tabulky: Před 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTM2OWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=95
Stigmatizace sv. Františka z Assisi,1718,Petr Brandl,"Praha – Hradčany, kapucínský klášter","Olej, plátno",292 × 221 cm,Provincie kapucínů v ČR,"Obraz v kapli sv. Františka v pražské Loretě, donovala Eleonora Carolia Zaháňská (roz. Lobkovicová).",Lor-164,Neznačeno,,"Umístění dle archivní tabulky: Kaple sv. Frantička v Loretě, Praha Hradčany | č.k. I-102",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTU2M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=96
Křest Kristův,1722,Petr Brandl,"Praha – Hradčany, katedrála sv. Víta","Olej, plátno",241 × 122 cm,Metropolitní kapitula u svatého Víta,Obraz objednala svatovítská kapitula v roce 1722 za cenu 400 zlatých.,,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTE3OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=97
Setkání sv. Vojtěcha s knížetem Boleslavem II. u břevnovské studánky (založení Břevnovského kláštera),1718 až 1719,Petr Brandl,"Praha – Břevnov, kostel sv. Markéty","Olej, plátno",340 × 208 cm,Benediktinské arciopatství v Břevnově,Obraz spolu s dalšími šesti oltářními malbami objednal řád benediktinů pro kostel sv. Markéty v Praze–Břevnově.,,Signováno na pahýlu stromu: Brandel,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Markéty, Praha-Břevnov | č.k. I-104 | Datování dle archivní tabulky: 1718-1719",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTU5M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=98
Smrt poustevníka Vintíře,1718 až 1719,Petr Brandl,"Praha – Břevnov, kostel sv. Markéty","Olej, plátno",340 × 208 cm,Benediktinské arciopatství v Břevnově,Obraz spolu s dalšími šesti oltářními malbami objednal řád benediktinů pro kostel sv. Markéty v Praze–Břevnově.,,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Markéty, Praha-Břevnov | č.k. I-103 | Datování dle archivní tabulky: 1718-1719",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTYyMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=99
Sv. Prokop nutí ďábla orat,1718 až 1719,Petr Brandl,"Praha – Břevnov, kostel sv. Markéty","Olej, plátno",300 × 150 cm,Benediktinské arciopatství v Břevnově,Obraz je součástí nástavce oltáře s Brandlovým obrazem Smrt poustevníka Vintíře. Spolu s dalšími šesti oltářními malbami objednal řád benediktinů pro kostel sv. Markéty v Praze–Břevnově.,,Signováno vpravo dole: Petrus Brandl / pinx.,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel sv. Markéty, Praha-Břevnov | č.k. I-106 | Datování dle archivní tabulky: 1718-1719",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTY1OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=100
Zavraždění sv. Václava,1719 až 1723,Petr Brandl,"Praha – Břevnov, kostel sv. Markéty","Olej, plátno",445 × 259 cm,Benediktinské arciopatství v Břevnově,Obraz spolu s dalšími šesti oltářními malbami objednal řád benediktinů pro kostel sv. Markéty v Praze–Břevnově.,,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Markéty, Praha-Břevnov | č.k. I-107 | Datování dle archivní tabulky: asi 1719-1723",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTY4N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=101
Nalezení a převezení ostatků sv. Otmara z ostrova Werd do svatohavelského kláštera (Oslavení sv. Otmara),1719,Petr Brandl,"Praha – Břevnov, kostel sv. Markéty","Olej, plátno",445 × 257 cm,Benediktinské arciopatství v Břevnově,Obraz spolu s dalšími šesti oltářními malbami objednal řád benediktinů pro kostel sv. Markéty v Praze–Břevnově.,,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Markéty, Praha-Břevnov | č.k. I-108 | Datování dle archivní tabulky: dokončeno počátkem října 1719",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTY2OTMxMzAxM2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=102
Smrt sv. Benedikta,1719,Petr Brandl,"Praha – Břevnov, kostel sv. Markéty","Olej, plátno",445 × 247 cm,Benediktinské arciopatství v Břevnově,Obraz spolu s dalšími šesti oltářními malbami objednal řád benediktinů pro kostel sv. Markéty v Praze–Břevnově.,,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Markéty, Praha-Břevnov | č.k. I-109 | Datování dle archivní tabulky: 26. května - 19. prosince 1719",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTcxNWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=103
Ukřižování s Pannou Marií Bolestnou,1719,Petr Brandl,"Praha – Břevnov, kostel sv. Markéty","Olej, plátno",445 × 247 cm,Benediktinské arciopatství v Břevnově,Obraz spolu s dalšími šesti oltářními malbami objednal řád benediktinů pro kostel sv. Markéty v Praze–Břevnově.,,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Markéty, Praha-Břevnov | č.k. I-110 | Datování dle archivní tabulky: dokončeno 22. prosince 1719",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTc1MGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=104
Klanění pastýřů,1713,Petr Brandl,"Praha – Zbraslav, kostel sv. Jakuba","Olej, plátno","220 × 118,5 cm",Arcibiskupství pražské,Obraz byl původně určen do konventního kostela cisterciáků na Zbraslavi.,,"Vpravo pod nohou sv. Josefa zbytek signatury: Petrus Brandl (napsáno obloučkovou zkratkou, konec podpisu málo čitelný)",,"Umístění dle archivní tabulky: Kostel sv. Jakuba, Praha-Zbraslav | č.k. I-111",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTA5NmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=105
Klanění tří králů,1713,Petr Brandl,"Praha - Zbraslav, kostel sv. Jakuba","Olej, plátno","220 × 118,5 cm",Arcibiskupství pražské,Obraz byl původně určen do konventního kostela cisterciáků na Zbraslavi.,,"signováno vlevo dole: Petrus Brandl Anno 1713 („us“ psáno obloučkovou zkratkou), na rubu plátna nápis: Petr Brandl pinx anno 1713.","signováno, datováno","Umístění dle archivní tabulky: Kostel sv. Jakuba, Praha-Zbraslav | č.k. I-112",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTExOGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=106
Uzdravení slepého Tobiáše,kolem 1705,Petr Brandl,"Praha, Muzeum hlavního města Prahy, dlouhodobě zapůjčeno do stálé expozice Národní galerie v Praze","Olej, plátno",259 × 177 cm,Muzeum hlavního města Prahy,Původní není známa. V roce 1797 je zapůjčil rod Kolovratů do Obrazárny Společnosti vlasteneckých přátel umění a roku 1860 byl darován Janem M. Kolovratem-Krakovským do kostela sv. Štěpána v Praze na Novém Městě. Roku 1866 byl znovu zapůjčen do Obrazárny a poté se stal majetkem Muzea hlavního města Prahy.,HD 000 011,"Signováno vlevo na stupni dole: PETRVS. BRANDl. invenit et pinxit, inv. č. VO 10421",signováno,Umístění dle archivní tabulky: Muzeum hl. m. Prahy (v NG) | č.k. I-113 | Datování dle archivní tabulky: Kolem 1705,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NzIzMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=107
Panna Marie s Ježíškem,před 1710,Petr Brandl,"Praha, Muzeum hlavního města Prahy","Olej, plátno","92,5 × 77 cm",Muzeum hlavního města Prahy,Původní není známa. Do muzea se dostal v roce 1924 z pozůstalosti MUDr. Neureuthera.,H 023 343,Neznačeno,,"Umístění dle archivní tabulky: Klášter premonstrátů, Teplá | č.k. I-172 | Datování dle archivní tabulky: Kolem 1705 (?)",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NzQ2M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=108
Sv. Antonín Paduánský s Ježíškem,kolem 1690,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","111 × 81,3 cm",Národní galerie v Praze,Původní není známa. Do Národní galerie dílo zakoupeno ze soukromého majetku v roce 1982.,O 14954,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-115 | Datování dle archivní tabulky: Kolem 1690,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzkwNWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=109
Jákob přijímá Josefovo zkrvavené roucho,kolem 1695,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",78 × 97 cm,Národní galerie v Praze,Původní není známa. Obraz zakoupen do Obrazárny Společnosti vlasteneckých přátel umění (pozdější Národní galerie v Praze) v roce 1923 od Rudolfa Ryšavého.,O 1348,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-116 | Datování dle archivní tabulky: Kolem 1695,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzE0MWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=111
Kimon a Pera (Caritas Romana),po 1710,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","105 × 142,5 cm",Národní galerie v Praze,"Původní není známa, obraz byl zakoupen od O. Kretschmera v Praze roku 1938.",O 1592,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-117 | Datování dle archivní tabulky: Brzy po 1695,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzMyMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=112
Vlastní podobizna (zv. Lobkovická),kolem 1697,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",73 × 55 cm,Národní galerie v Praze,"Původní není známa. V roce 1805 byl obraz zakoupen z obchodu Václava Bernarda Ambroziho do fondu Společnosti vlasteneckých přítel umění Antonínem Isidorem knížetem Lobkovic (1773–1819). Z lobkovického majetku přešel do Státní sbírky starého umění (pozdější Národní galerie v Praze). V roce 1992 byl vrácen Otakaru Lobkowiczovi (1922–1995), který jej do Národní galerie dlouhodobě zapůjčil; a v roce 2008 dílo Národní galerie odkoupila od Otakara Antoine Lobkowicze.",O 18923,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-118 | Datování dle archivní tabulky: Kolem 1697,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTUxNWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=113
Podobizna staršího muže v hnědém plášti,kolem 1705,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","109,5 × 81,5 cm",Národní galerie v Praze,Obraz byl zakoupen do Obrazárny Společnosti vlasteneckých přátel umění (pozdější Národní galerie v Praze) roku 1932 od Sidonie Nádherné z Vrchotových Janovic.,O 1551,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-120 | Datování dle archivní tabulky: Kolem 1705,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzczMGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=114
Zvěstování Panně Marii: Panna Marie,před 1710,Petr Brandl,"Praha, Národní galerie","Olej, plátno","58,6 × 43,5 cm",Národní galerie v Praze,"Původní není známa. Spolu s protějškovým obrazem Archandělem Gabrielem, byl roku 1901 zapůjčen z neuvedeného majetku do Obrazárny Společnosti vlasteneckých přátel umění a roku 1904 získán do jejího vlastnictví.",O 844,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Svatá Hora, klášter redemptoristů | č.k. I-170 | Datování dle archivní tabulky: 1697",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTc1MjE1MzUwMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=115
Zvěstování Panně Marii: Archanděl Gabriel,před 1710,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","58,6 × 43 cm",Národní galerie v Praze,"Původní není známa. Spolu s protějškovým obrazem Pannou Marií, byl roku 1901 zapůjčen z neuvedeného majetku do Obrazárny Společnosti vlasteneckých přátel umění a roku 1904 získán do jejího vlastnictví.",O 845,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-123 | Datování dle archivní tabulky: Před 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2ODEwMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=116
Kající se Máří Magdaléna,po 1710,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",114 × 84 cm,Národní galerie v Praze,"Původní není známa. V roce 1867 se obraz nalézal ve sbírce Hynka Ignáce Řivnáče (1804–1874), po něm dílo zdědil Václav Řivnáč, v jehož majetku byl do roku 1911. Poté dílo získal Jan Steinský-Sehnoutka (1920–2011). Od roku 1949 byl obraz v Národní galerii, která jej v roce 2014 zakoupila od rodiny Steinský-Sehnoutka.",O 19134,Signováno na listě otevřené knihy: P. Brandl,signováno,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-124 | Datování dle archivní tabulky: Před 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzE1OWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=117
Lot a jeho dcery,kolem 1710,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","80,2 × 103 cm",Národní galerie v Praze,"Původní není známa. Obraz byl ve sbírce O. Kretschmera, později v majetku paní Havránkové a dále JUDr. Františka Světničky. Do Národní galerie byl zakoupen v roce 1971.",O 12683,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-125 | Datování dle archivní tabulky: Před/kolem 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzM0N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=118
Podobizna šlechtice v modrém plášti,kolem 1710,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","144 × 106,5 cm",Národní galerie v Praze,Původní není známa. Dílo v roce 1798 zapůjčil Bedřich hrabě Nostic do Obrazárny Společnosti vlasteneckých přátel umění a 1852 vrácen rodině Nosticů. Do sbírek Obrazárny (pozdější Národní galerie v Praze) byl zakoupen v roce 1922.,O 1281,Vlevo dole falešná signatura: P. Brandl.,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-126 | Datování dle archivní tabulky: Před/kolem 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzYxNWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=119
Sv. Pavel,kolem 1710,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","95,5 × 82 cm",Národní galerie v Praze,Původní provenience není známa. Obraz byl zakoupen 1939 ze sbírky R. Ryšavého do Státní sbírky starého umění (pozdější Národní galerie).,O 1617,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-127 | Datování dle archivní tabulky: Kolem/po 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2ODAzNWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=120
Sv. Petr,kolem 1710,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","95,5 × 81,5 cm",Národní galerie v Praze,Původní provenience není známa. Obraz byl zakoupen v roce 1937 od Rudolfa Ryšavého Spolkem výtvarných umělců Mánes a odtud se dostal do Státní sbírky starého umění (pozdější Národní galerie).,O 1585,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-128 | Datování dle archivní tabulky: Kolem/po 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTk3ODcwOGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=121
Podobizna mladého muže s gestem na prstech,1710 až 1720,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",78 × 62 cm,Národní galerie v Praze,"Původní není známa. V 19, století byl v majetku MUDr, V. Weisse, poté (evidováno 1911) MUDr, J. Franty, 1944 zakoupen do Národní galerie v Praze.",O 2607,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-129 | Datování dle archivní tabulky: Kolem 1710-20,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NzY2N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=122
Hlava apoštola,kolem 1730,Petr Brandl – okruh,"Praha, Národní galerie v Praze","Olej, plátno","45,5 × 36 cm",Národní galerie v Praze,Obraz byl zakoupen roku 1923 do Obrazárny Společnosti vlasteneckých přátel umění (pozdější Národní galerie v Praze) od R. Ryšavého.,O 1347,Na rubu staré označení: Bran. (končí zkratkou),,Umístění dle archivní tabulky: Zničeno (Hamburg) | č.k. V-12 | Datování dle archivní tabulky: Kolem 1725,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzEyMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=123
Návrat ztraceného syna,kolem 1710,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","108,5 × 83,5 cm",Národní galerie v Praze,"Původní není známa. Obraz získal od R. Ryšavého roku 1918 J. Waldes, od něhož byl roku 1940 zakoupen Národní galerií (tehdy Státní sbírkou starého umění).",O 17337,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-131 | Datování dle archivní tabulky: Kolem po 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzM4OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=124
Podobizna staršího muže,kolem 1720,Petr Brandl,"Praha, Národní galerie v Praze","Olej, dřevo","68 × 48,3 cm",Národní galerie v Praze,"Původní není známa; v roce 1797 byl obraz zapůjčen do Obrazárny Společnosti vlasteneckých přátel umění svobodným pánem Václavem Vernierem de Rougemont (†1817); 1829 byl prodán za 30 zlatých hraběti Josefu Nostici-Rieneckovi (1764–1849) a ten jej do roku 1922 zapůjčil do Obrazárny Společnosti vlasteneckých přátel umění; v roce 1939 z nostického majetku dílo přešlo do majetku Richarda Morawetze (1881–1965), který jej zapůjčil do tehdejší Státní sbírky starého umění (pozdější Národní galerie); dílo v roce 1997 věnoval Národní galerii Oskar Morawetz (1917–2007).",O 17450,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-133 | Datování dle archivní tabulky: Před nebo kolem 1720,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzY0OWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=126
Podobizna muže,po 1720,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",67 × 49 cm,Národní galerie v Praze,"Původní není známa. Obraz se v 19. století nacházel ve Vídni ve sbírce rodu Kouniců, odkud se dostal do bratislavské sbírky Gaziosa Eney Lanfranconiho. V roce 1923 byl zakoupen z majetku Josefa Hlouchy do Obrazárny Společnosti vlasteneckých přátel umění (pozdější Národní galerie v Praze).",O 1364,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-132 | Datování dle archivní tabulky: Kolem 1720-25,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzUzMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=128
Vlastní podobizna s gestem rukou,1722 až 1725,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",68 × 54 cm,Národní galerie v Praze,"V 80. letech 19. století se obraz nacházel ve sbírce prof. dr. Vilema Weisse (1835–1891) a poté ve sbírce H. Schüleina (počátek 20. století) v Mnichově. Neznámo kdy se poté dostal do sbírky Olgy Schienpfulgové v Praze. Ze soukromého majetku byl v roce 1995 dlouhodobě zapůjčen do Národní galerie v Praze, která jej zakoupila v roce 1998.",O 17424,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-129 | Datování dle archivní tabulky: 1722-1725,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2ODA2MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=129
