id,nazev,autor,puvodni_url,soubor
46,Ukřižovaný s Pannou Marií Bolestnou a sv. Janem,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTYzNWpwZzI=.jpg,0046_ukrizovany-s-pannou-marii-bolestnou-a-sv-janem.jpg
47,Sv. Tomáš Akvinský (opásáván cingulem cudnosti),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTgxOGpwZzI=.jpg,0047_sv-tomas-akvinsky-opasavan-cingulem-cudnosti.jpg
48,Sv. Eustach klečící před bílým jelenem,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTg0MGpwZzI=.jpg,0048_sv-eustach-klecici-pred-bilym-jelenem.jpg
49,"Nejsvětější Trojice s Pannou Marií, sv. Augustinem, sv. Tomášem z Villanovy a sv. Zuzanou",Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTg2NmpwZzI=.jpg,0049_nejsvetejsi-trojice-s-pannou-marii-sv-augustinem-sv-tomasem-z-villanovy-a-sv-zuzanou.jpg
50,Stětí sv. Barbory,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTg5M2pwZzI=.jpg,0050_steti-sv-barbory.jpg
51,Zavraždění sv. Václava,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTkyM2pwZzI=.jpg,0051_zavrazdeni-sv-vaclava.jpg
52,Smrt sv. Izidora,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTk0MmpwZzI=.jpg,0052_smrt-sv-izidora.jpg
53,Panna Marie s dítětem v oblacích,Petr Brandl a dílna,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjAyMGpwZzI=.jpg,0053_panna-marie-s-ditetem-v-oblacich.jpg
54,Křest Kristův,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjAwMWpwZzI=.jpg,0054_krest-kristuv.jpg
55,Výchova Panny Marie,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjA0OGpwZzI=.jpg,0055_vychova-panny-marie.jpg
56,Sv. Antonín Paduánský s Ježíškem,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjA5OWpwZzI=.jpg,0056_sv-antonin-paduansky-s-jeziskem.jpg
57,Sv. Bartoloměj,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgzMTM5N2pwZzI=.jpg,0057_sv-bartolomej.jpg
58,Sv. Ondřej,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgzMTQyNGpwZzI=.jpg,0058_sv-ondrej.jpg
59,Sv. Josef se spícím Ježíškem a anděly,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjE1MmpwZzI=.jpg,0059_sv-josef-se-spicim-jeziskem-a-andely.jpg
60,Kající Máří Magdaléna,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjI1M2pwZzI=.jpg,0060_kajici-mari-magdalena.jpg
61,Sv. Jan Nepomucký jako almužník,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjM1NWpwZzI=.jpg,0061_sv-jan-nepomucky-jako-almuznik.jpg
62,Sv. František z Pauly,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjM5NGpwZzI=.jpg,0062_sv-frantisek-z-pauly.jpg
63,Archanděl Michael s plamenným mečem (nástavec oltáře Sv. Františka z Pauly),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjQzNGpwZzI=.jpg,0063_archandel-michael-s-plamennym-mecem-nastavec-oltare-sv-frantiska-z-pauly.jpg
64,Apoteóza sv. Jana Nepomuckého,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjUzMGpwZzI=.jpg,0064_apoteoza-sv-jana-nepomuckeho.jpg
65,Jazyk sv. Jana Nepomuckého (nástavec oltáře Sv. Jana Nepomuckého),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjU0OWpwZzI=.jpg,0065_jazyk-sv-jana-nepomuckeho-nastavec-oltare-sv-jana-nepomuckeho.jpg
66,U felčara,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjYzNGpwZzI=.jpg,0066_u-felcara.jpg
67,U mastičkářky,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjY2N2pwZzI=.jpg,0067_u-mastickarky.jpg
68,Kající se Máří Magdaléna,Petr Brandl - okruh,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjY5NWpwZzI=.jpg,0068_kajici-se-mari-magdalena.jpg
69,Panna Marie Bolestná,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjcyMmpwZzI=.jpg,0069_panna-marie-bolestna.jpg
70,Ukřižovaný Kristus,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTA4MWpwZzI=.jpg,0070_ukrizovany-kristus.jpg
71,Korunování Panny Marie,Petr Brandl – okruh,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTExM2pwZzI=.jpg,0071_korunovani-panny-marie.jpg
72,Sv. Bernard,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTY2OTI4ODkyOGpwZzI=.jpg,0072_sv-bernard.jpg
73,Panna Marie uděluje škapulíř sv. Šimonu Štokovi,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTIzNmpwZzI=.jpg,0073_panna-marie-udeluje-skapulir-sv-simonu-stokovi.jpg
74,Júdit před veleknězem,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTI1N2pwZzI=.jpg,0074_judit-pred-veleknezem.jpg
75,Poprsí apoštola (?) s gestem,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTI3OGpwZzI=.jpg,0075_poprsi-apostola-s-gestem.jpg
76,Sv. Josef s Ježíškem a anděly,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTM1MmpwZzI=.jpg,0076_sv-josef-s-jeziskem-a-andely.jpg
77,Zavraždění sv. Václava,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTQ2MGpwZzI=.jpg,0077_zavrazdeni-sv-vaclava.jpg
78,Všichni svatí s Nejsvětější Trojicí,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTUxMWpwZzI=.jpg,0078_vsichni-svati-s-nejsvetejsi-trojici.jpg
79,Sv. Linhart navštěvuje vězně se sv. Vavřincem v oblacích,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTY0NmpwZzI=.jpg,0079_sv-linhart-navstevuje-vezne-se-sv-vavrincem-v-oblacich.jpg
80,Výchova Panny Marie,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NjU3N2pwZzI=.jpg,0080_vychova-panny-marie.jpg
81,Nanebevzetí Panny Marie (Assumpta),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTMwNWpwZzI=.jpg,0081_nanebevzeti-panny-marie-assumpta.jpg
82,Vidění sv. Terezie,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODAwMmpwZzI=.jpg,0082_videni-sv-terezie.jpg
83,Sv. Josef s Ježíškem a Pannou Marií (sv. Rodina),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODI2MGpwZzI=.jpg,0083_sv-josef-s-jeziskem-a-pannou-marii-sv-rodina.jpg
84,Sv. Jáchym a Anna (Zvěstování Jáchymovi a Anně),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwNzk1N2pwZzI=.jpg,0084_sv-jachym-a-anna-zvestovani-jachymovi-a-anne.jpg
85,Bůh Otec (nástavec oltáře sv. Jáchyma a Anny),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MDcxM2pwZzI=.jpg,0085_buh-otec-nastavec-oltare-sv-jachyma-a-anny.jpg
86,Smrt sv. Josefa,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwNzg2N2pwZzI=.jpg,0086_smrt-sv-josefa.jpg
87,Sv. Antonín Paduánský s Ježíškem (obraz v nástavci oltáře),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwNzkwN2pwZzI=.jpg,0087_sv-antonin-paduansky-s-jeziskem-obraz-v-nastavci-oltare.jpg
88,Panna Marie uděluje škapulíř sv. Šimonu Štokovi,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTIyMmpwZzI=.jpg,0088_panna-marie-udeluje-skapulir-sv-simonu-stokovi.jpg
89,Sv. Jan Nepomucký (obraz v nástavci),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODEwMWpwZzI=.jpg,0089_sv-jan-nepomucky-obraz-v-nastavci.jpg
90,Sen proroka Eliáše,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwNzY5M2pwZzI=.jpg,0090_sen-proroka-eliase.jpg
91,Podobizna pražského arcibiskupa Ferdinanda z Khuenburgu,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTM5N2pwZzI=.jpg,0091_podobizna-prazskeho-arcibiskupa-ferdinanda-z-khuenburgu.jpg
92,Sv. Pavel,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODE0MmpwZzI=.jpg,0092_sv-pavel.jpg
93,Sv. Petr,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODE4MmpwZzI=.jpg,0093_sv-petr.jpg
94,Zázrak Panny Marie Rottenburské,Petr Brandl (dokončil Jan Jiří Schmidt),http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTc4MGpwZzI=.jpg,0094_zazrak-panny-marie-rottenburske.jpg
95,Panna Marie s Ježíškem a sv. Josefem zachraňují duše v očistci,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTM2OWpwZzI=.jpg,0095_panna-marie-s-jeziskem-a-sv-josefem-zachranuji-duse-v-ocistci.jpg
96,Stigmatizace sv.  Františka z Assisi,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTU2M2pwZzI=.jpg,0096_stigmatizace-sv-frantiska-z-assisi.jpg
97,Křest Kristův,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTE3OGpwZzI=.jpg,0097_krest-kristuv.jpg
