handy_id,Title,Author,ISBN
168,The Wonderful Wizard of Oz,"Baum, Lyman Frank",0451518640
169,Cesty křesťanského umění,"Borchgrave, Helen de",9788024208053
170,Slovník biblické ikonografie,"Royt, Jan",9788024609638
171,Kennzeichen und Attribute der Heiligen.,"Wimmer, Otto",9783702223540
172,Die geheime Sprache der Kunst: Die Bedeutung von Symbolen und Figuren in der abendländischen Malerei,"Carr-Gomm, Sarah",9783809430919
173,Svatý Václav: Panovník a světec v raném středověku,"Vaníček, Vratislav",9788074325014
174,"Jan Nepomucký, česká legenda","Vlnas, Vít",9788074322785
175,Slovník námětů a symbolů ve výtvarném umění,"Hall, James",8020402055
176,Einführung in die Ikonographie: Wege zur Deutung von Bildinhalten,"Büttner, Frank",9783406742804
177,Burgund,"Van Loo, Bart",9783406813658
178,Domy na Starém Městě pražském III.,"Šámal, Petr",9788071069744
179,Domy na Starém Městě pražském I.,"Šámal, Petr",9788071068105
180,Domy na Starém Městě pražském II.,"Šámal, Petr",9788071069119
181,Domy na Starém Městě pražském IV.,"Šámal, Petr",9788074220975
182,Petrská čtvrt dům od domu,"Novotný, Avel",9788072773619
183,Most přes řeku Kwai,"Boulle, Pierre",
184,Hájili jsme hrad,"Eastlake, William",
185,Černošský Pán Bůh a páni Izraeliti,"Bradford, Roark",
186,Jak jsem vyhrál válku,"Ryan, Patrick",
187,Pan Kaplan má stále třídu rád,"Rosten, Leo",
188,Literární poklesky,"Leacick, Stephen",
189,Malvína z Bretaně,"Jerome, Jerome K.",
190,Deadwood,"Dexter, Pete",
191,Mladí lvi,"Shaw, Irwin",
192,Velký Gatsby,"Fitzgerald, Francis Scott",8090103138
193,Muž se srdcem kovboje,"Schaefer, Jack",
194,Kentaur,"Updike, John",
195,Pobertové,"Faulkner, William",
196,Farma zvířat,"Orwell, George",8020801596
197,When: The Scientific Secrets of Perfect Timing,"Pink, Daniel H.",9780525542780
198,Why Read the Classics?,"Calvino, Italo",9780141189703
199,13 Ways of Looking at the Novel,"Smiley, Jane",9781400033188
200,Inferior,"Saini, Angela",9780008172039
201,Lolita,"Nabokov, Vladimir",802070308X
202,Bůh ví,"Heller, Joseph",8020702938
203,Ohňostroj marnosti,"Wolfe, Tom",8020703527
204,Osud trůnu habsburského,"Galandauer, Jan",
205,Temno,"Čornejová, Ivana",9788076372863
206,Dějiny 20. století,"Johnson, Paul",9788073351458
207,O smyslu českých dějin,"Pekař, Josef",
208,Staroměstská exekuce,"Petráň, Josef",9788024650555
209,Objevení Tróje,"Zamarovský, Vojtěch",
210,"Rudolf, korunní princ a rebel","Hamannová, Brigitte",8020704337
211,Husitská revoluce: Stručná historie,"Čornej, Petr",9788076371897
212,Hadí doupě,"Christie, Agatha",
213,Kostel sv. Ignáce z Loyoly,"Horyna, Mojmír",9788071950608
214,Něžná je noc,"Fitzgerald, Francis Scott",9788020204714
215,Ikonologie,"Ripa, Cesare",9788025727850
216,Atributy světců,"Pfleiderer, Rudolf",
217,Stručné dějiny světa pro mladé čtenáře,"Gombrich, E.H.",9788072039159
218,Význam ve výtvarném umění,"Panofsky, Erwin",
219,Atributy v umění díl II.,"Ryneš, Václav",
220,Německo a Češi - Dějiny jednoho sousedství uprostřed Evropy,"Seibt, Ferdinand",9788020005779
221,Mezinárodní perspektivy politických regionů,"Hnízdo, Bořek",8085241951
222,Kapitoly z dějin mezinárodních vztahů 1914 - 1941,"Moravcová, Dagmar",8085241706
223,Kapitoly z dějin evropské politiky do roku 1648,"Drška, Václav",8085241870
